virtuoso_1  | 07:41:13 Compiler unit is timed at 0.000103 msec
virtuoso_1  | 07:41:13 Reference to page with free remap dp = 6917, remap = 6917
virtuoso_1  | 07:41:13 Reference to page with free remap dp = 6917, remap = 6917
virtuoso_1  | 07:41:13 Reference to page with free remap dp = 6917, remap = 6917
virtuoso_1  | 07:41:13 Reference to page with free remap dp = 5378, remap = 5378
virtuoso_1  | 07:41:13 Broken index RDF_QUAD
virtuoso_1  | 07:41:13 /opt/virtuoso-opensource/bin/virtuoso-t() [0x917aca]
virtuoso_1  | 07:41:13 /opt/virtuoso-opensource/bin/virtuoso-t() [0x917b55]
virtuoso_1  | 07:41:13 /opt/virtuoso-opensource/bin/virtuoso-t() [0x4a2ec0]
virtuoso_1  | 07:41:13 /opt/virtuoso-opensource/bin/virtuoso-t() [0x4a3619]
virtuoso_1  | 07:41:13 /opt/virtuoso-opensource/bin/virtuoso-t() [0x48182b]
virtuoso_1  | 07:41:13 /opt/virtuoso-opensource/bin/virtuoso-t() [0x541891]
virtuoso_1  | 07:41:13 /opt/virtuoso-opensource/bin/virtuoso-t() [0x541b4b]
virtuoso_1  | 07:41:13 /opt/virtuoso-opensource/bin/virtuoso-t() [0x547991]
virtuoso_1  | 07:41:13 /opt/virtuoso-opensource/bin/virtuoso-t() [0x548312]
virtuoso_1  | 07:41:13 /opt/virtuoso-opensource/bin/virtuoso-t() [0x548c57]
virtuoso_1  | 07:41:13 /opt/virtuoso-opensource/bin/virtuoso-t() [0x548dbc]
virtuoso_1  | 07:41:13 /opt/virtuoso-opensource/bin/virtuoso-t() [0x59cd38]
virtuoso_1  | 07:41:13 /opt/virtuoso-opensource/bin/virtuoso-t() [0x5b0c3a]
virtuoso_1  | 07:41:13 /opt/virtuoso-opensource/bin/virtuoso-t() [0x5b14fe]
virtuoso_1  | 07:41:13 /opt/virtuoso-opensource/bin/virtuoso-t() [0x5b62d7]
virtuoso_1  | 07:41:13 /opt/virtuoso-opensource/bin/virtuoso-t() [0x5b6503]
virtuoso_1  | 07:41:13 /opt/virtuoso-opensource/bin/virtuoso-t() [0x5b68ec]
virtuoso_1  | 07:41:13 /opt/virtuoso-opensource/bin/virtuoso-t() [0x594382]
virtuoso_1  | 07:41:13 /opt/virtuoso-opensource/bin/virtuoso-t() [0x596b61]
virtuoso_1  | 07:41:13 /opt/virtuoso-opensource/bin/virtuoso-t() [0x693fe7]
virtuoso_1  | 07:41:13 /opt/virtuoso-opensource/bin/virtuoso-t() [0x6946ec]
virtuoso_1  | 07:41:13 /opt/virtuoso-opensource/bin/virtuoso-t() [0x679e9d]
virtuoso_1  | 07:41:13 /opt/virtuoso-opensource/bin/virtuoso-t() [0x61adde]
virtuoso_1  | 07:41:13 /opt/virtuoso-opensource/bin/virtuoso-t() [0x45a164]
virtuoso_1  | 07:41:13 /lib/x86_64-linux-gnu/libc.so.6(__libc_start_main+0xe7) [0x7f03ea3a3bf7]
virtuoso_1  | 07:41:13 /opt/virtuoso-opensource/bin/virtuoso-t(realloc+0x351) [0x454c29]
virtuoso_1  | 07:41:13 GPF: colsearch.c:818 ref to deld col page
virtuoso_1  | GPF: colsearch.c:818 ref to deld col page
