virtuoso_1  | 07:36:30 Roll forward started
virtuoso_1  | 07:36:30 SQL Error: 23000 : SR175: Uniqueness violation : Violating unique index RDF_LANGUAGE on table DB.DBA.RDF_LANGUAGE. Transaction killed.
virtuoso_1  | 07:36:30 In roll forward batch commit failed code 5
virtuoso_1  | 07:36:30 Rfwd error: 23000: SR175: Uniqueness violation : Violating unique index RDF_LANGUAGE on table DB.DBA.RDF_LANGUAGE. Transaction killed.
virtuoso_1  | 07:36:30 SQL Error: 23000 : SR175: Uniqueness violation : Violating unique index RDF_LANGUAGE on table DB.DBA.RDF_LANGUAGE. Transaction killed.
virtuoso_1  | 07:36:30 SQL Error: XXXXX : COL..: Insert stopped because out of seg data here or elsewhere host 0 key RDF_QUAD_POGS slice 0
virtuoso_1  | 07:36:30 Rfwd error: XXXXX: COL..: Insert stopped because out of seg data here or elsewhere host 0 key RDF_QUAD_POGS slice 0
virtuoso_1  | 07:36:30 SQL Error: XXXXX : COL..: Insert stopped because out of seg data here or elsewhere host 0 key RDF_QUAD_POGS slice 0
virtuoso_1  | 07:36:30 SQL Error: XXXXX : COL..: Insert stopped because out of seg data here or elsewhere host 0 key RDF_QUAD_OP slice 0
virtuoso_1  | 07:36:30 Rfwd error: XXXXX: COL..: Insert stopped because out of seg data here or elsewhere host 0 key RDF_QUAD_OP slice 0
virtuoso_1  | 07:36:30 SQL Error: XXXXX : COL..: Insert stopped because out of seg data here or elsewhere host 0 key RDF_QUAD_GS slice 0
virtuoso_1  | 07:36:30 SQL Error: XXXXX : COL..: Insert stopped because out of seg data here or elsewhere host 0 key RDF_QUAD slice 0
virtuoso_1  | 07:36:30 Rfwd error: XXXXX: COL..: Insert stopped because out of seg data here or elsewhere host 0 key RDF_QUAD slice 0
virtuoso_1  | 07:36:30 Rfwd error: XXXXX: COL..: Insert stopped because out of seg data here or elsewhere host 0 key RDF_QUAD_GS slice 0
virtuoso_1  | 07:36:30 SQL Error: XXXXX : COL..: Insert stopped because out of seg data here or elsewhere host 0 key RDF_QUAD_OP slice 0
virtuoso_1  | 07:36:30 SQL Error: XXXXX : COL..: Insert stopped because out of seg data here or elsewhere host 0 key RDF_QUAD_SP slice 0
virtuoso_1  | 07:36:30 SQL Error: XXXXX : COL..: Insert stopped because out of seg data here or elsewhere host 0 key RDF_QUAD_OP slice 0
virtuoso_1  | 07:36:30 SQL Error: XXXXX : COL..: Insert stopped because out of seg data here or elsewhere host 0 key RDF_QUAD_GS slice 0
virtuoso_1  | 07:36:30 Rfwd error: XXXXX: COL..: Insert stopped because out of seg data here or elsewhere host 0 key RDF_QUAD_OP slice 0
virtuoso_1  | 07:36:30 SQL Error: XXXXX : COL..: Insert stopped because out of seg data here or elsewhere host 0 key RDF_QUAD slice 0
virtuoso_1  | 07:36:30 Rfwd error: XXXXX: COL..: Insert stopped because out of seg data here or elsewhere host 0 key RDF_QUAD slice 0
